Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
MK,Macro Indicators,40,Austria,6110,Value US$,22008,Gross Domestic Product,2010,2010,millions,391892.7465,X,Figure from international organizations,
MK,Macro Indicators,40,Austria,6110,Value US$,22008,Gross Domestic Product,2011,2011,millions,431120.3101,X,Figure from international organizations,
MK,Macro Indicators,40,Austria,6110,Value US$,22008,Gross Domestic Product,2012,2012,millions,409425.2342,X,Figure from international organizations,
MK,Macro Indicators,40,Austria,6110,Value US$,22008,Gross Domestic Product,2013,2013,millions,430068.713,X,Figure from international organizations,
MK,Macro Indicators,40,Austria,6110,Value US$,22008,Gross Domestic Product,2014,2014,millions,441996.1317,X,Figure from international organizations,
MK,Macro Indicators,40,Austria,6110,Value US$,22008,Gross Domestic Product,2015,2015,millions,381817.5659,X,Figure from international organizations,
MK,Macro Indicators,40,Austria,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,395568.6443,X,Figure from international organizations,
MK,Macro Indicators,40,Austria,6110,Value US$,22008,Gross Domestic Product,2017,2017,millions,417261.1518,X,Figure from international organizations,
MK,Macro Indicators,40,Austria,6110,Value US$,22008,Gross Domestic Product,2018,2018,millions,455168.1519,X,Figure from international organizations,
MK,Macro Indicators,40,Austria,6110,Value US$,22008,Gross Domestic Product,2019,2019,millions,445011.8727,X,Figure from international organizations,
MK,Macro Indicators,40,Austria,6110,Value US$,22008,Gross Domestic Product,2020,2020,millions,433258.4677,X,Figure from international organizations,
MK,Macro Indicators,56,Belgium,6110,Value US$,22008,Gross Domestic Product,2010,2010,millions,480951.6295,X,Figure from international organizations,
MK,Macro Indicators,56,Belgium,6110,Value US$,22008,Gross Domestic Product,2011,2011,millions,522645.5192,X,Figure from international organizations,
MK,Macro Indicators,56,Belgium,6110,Value US$,22008,Gross Domestic Product,2012,2012,millions,496181.2603,X,Figure from international organizations,
MK,Macro Indicators,56,Belgium,6110,Value US$,22008,Gross Domestic Product,2013,2013,millions,521642.7144,X,Figure from international organizations,
MK,Macro Indicators,56,Belgium,6110,Value US$,22008,Gross Domestic Product,2014,2014,millions,534678.0758,X,Figure from international organizations,
MK,Macro Indicators,56,Belgium,6110,Value US$,22008,Gross Domestic Product,2015,2015,millions,462149.6793,X,Figure from international organizations,
MK,Macro Indicators,56,Belgium,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,475739.5888,X,Figure from international organizations,
MK,Macro Indicators,56,Belgium,6110,Value US$,22008,Gross Domestic Product,2017,2017,millions,502764.7206,X,Figure from international organizations,
MK,Macro Indicators,56,Belgium,6110,Value US$,22008,Gross Domestic Product,2018,2018,millions,543273.7946,X,Figure from international organizations,
MK,Macro Indicators,56,Belgium,6110,Value US$,22008,Gross Domestic Product,2019,2019,millions,535288.7152,X,Figure from international organizations,
MK,Macro Indicators,56,Belgium,6110,Value US$,22008,Gross Domestic Product,2020,2020,millions,521861.2926,X,Figure from international organizations,
MK,Macro Indicators,100,Bulgaria,6110,Value US$,22008,Gross Domestic Product,2010,2010,millions,50682.3625,X,Figure from international organizations,
MK,Macro Indicators,100,Bulgaria,6110,Value US$,22008,Gross Domestic Product,2011,2011,millions,57679.91705,X,Figure from international organizations,
MK,Macro Indicators,100,Bulgaria,6110,Value US$,22008,Gross Domestic Product,2012,2012,millions,54299.07033,X,Figure from international organizations,
MK,Macro Indicators,100,Bulgaria,6110,Value US$,22008,Gross Domestic Product,2013,2013,millions,55811.38734,X,Figure from international organizations,
MK,Macro Indicators,100,Bulgaria,6110,Value US$,22008,Gross Domestic Product,2014,2014,millions,57082.65593,X,Figure from international organizations,
MK,Macro Indicators,100,Bulgaria,6110,Value US$,22008,Gross Domestic Product,2015,2015,millions,50782.02222,X,Figure from international organizations,
