Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QV,Value of Agricultural Production,40,Austria,57,Gross Production Value (current thousand US$),F2051,Agriculture,2010,2010,1000 US$,6345092,E,Estimated value
QV,Value of Agricultural Production,40,Austria,57,Gross Production Value (current thousand US$),F2051,Agriculture,2011,2011,1000 US$,7548229,E,Estimated value
QV,Value of Agricultural Production,40,Austria,57,Gross Production Value (current thousand US$),F2051,Agriculture,2012,2012,1000 US$,7135291,E,Estimated value
QV,Value of Agricultural Production,40,Austria,57,Gross Production Value (current thousand US$),F2051,Agriculture,2013,2013,1000 US$,7234620,E,Estimated value
QV,Value of Agricultural Production,40,Austria,57,Gross Production Value (current thousand US$),F2051,Agriculture,2014,2014,1000 US$,7101967,E,Estimated value
QV,Value of Agricultural Production,40,Austria,57,Gross Production Value (current thousand US$),F2051,Agriculture,2015,2015,1000 US$,5704913,E,Estimated value
QV,Value of Agricultural Production,40,Austria,57,Gross Production Value (current thousand US$),F2051,Agriculture,2016,2016,1000 US$,5737011,E,Estimated value
QV,Value of Agricultural Production,40,Austria,57,Gross Production Value (current thousand US$),F2051,Agriculture,2017,2017,1000 US$,6216310,E,Estimated value
QV,Value of Agricultural Production,40,Austria,57,Gross Production Value (current thousand US$),F2051,Agriculture,2018,2018,1000 US$,6928354,E,Estimated value
QV,Value of Agricultural Production,40,Austria,57,Gross Production Value (current thousand US$),F2051,Agriculture,2019,2019,1000 US$,6287813,E,Estimated value
QV,Value of Agricultural Production,40,Austria,57,Gross Production Value (current thousand US$),F2051,Agriculture,2020,2020,1000 US$,6588675,E,Estimated value
QV,Value of Agricultural Production,56,Belgium,57,Gross Production Value (current thousand US$),F2051,Agriculture,2010,2010,1000 US$,6920872,E,Estimated value
QV,Value of Agricultural Production,56,Belgium,57,Gross Production Value (current thousand US$),F2051,Agriculture,2011,2011,1000 US$,7668500,E,Estimated value
QV,Value of Agricultural Production,56,Belgium,57,Gross Production Value (current thousand US$),F2051,Agriculture,2012,2012,1000 US$,7408898,E,Estimated value
QV,Value of Agricultural Production,56,Belgium,57,Gross Production Value (current thousand US$),F2051,Agriculture,2013,2013,1000 US$,8538323,E,Estimated value
QV,Value of Agricultural Production,56,Belgium,57,Gross Production Value (current thousand US$),F2051,Agriculture,2014,2014,1000 US$,7389232,E,Estimated value
QV,Value of Agricultural Production,56,Belgium,57,Gross Production Value (current thousand US$),F2051,Agriculture,2015,2015,1000 US$,5738158,E,Estimated value
QV,Value of Agricultural Production,56,Belgium,57,Gross Production Value (current thousand US$),F2051,Agriculture,2016,2016,1000 US$,5810879,E,Estimated value
QV,Value of Agricultural Production,56,Belgium,57,Gross Production Value (current thousand US$),F2051,Agriculture,2017,2017,1000 US$,6328725,E,Estimated value
QV,Value of Agricultural Production,56,Belgium,57,Gross Production Value (current thousand US$),F2051,Agriculture,2018,2018,1000 US$,6762732,E,Estimated value
QV,Value of Agricultural Production,56,Belgium,57,Gross Production Value (current thousand US$),F2051,Agriculture,2019,2019,1000 US$,6648467,E,Estimated value
QV,Value of Agricultural Production,56,Belgium,57,Gross Production Value (current thousand US$),F2051,Agriculture,2020,2020,1000 US$,6598191,E,Estimated value
QV,Value of Agricultural Production,100,Bulgaria,57,Gross Production Value (current thousand US$),F2051,Agriculture,2010,2010,1000 US$,3567098,E,Estimated value
QV,Value of Agricultural Production,100,Bulgaria,57,Gross Production Value (current thousand US$),F2051,Agriculture,2011,2011,1000 US$,4464369,E,Estimated value
QV,Value of Agricultural Production,100,Bulgaria,57,Gross Production Value (current thousand US$),F2051,Agriculture,2012,2012,1000 US$,4368325,E,Estimated value
QV,Value of Agricultural Production,100,Bulgaria,57,Gross Production Value (current thousand US$),F2051,Agriculture,2013,2013,1000 US$,4774580,E,Estimated value
QV,Value of Agricultural Production,100,Bulgaria,57,Gross Production Value (current thousand US$),F2051,Agriculture,2014,2014,1000 US$,4598744,E,Estimated value
QV,Value of Agricultural Production,100,Bulgaria,57,Gross Production Value (current thousand US$),F2051,Agriculture,2015,2015,1000 US$,3692080,E,Estimated value
QV,Value of Agricultural Production,100,Bulgaria,57,Gross Production Value (current thousand US$),F2051,Agriculture,2016,2016,1000 US$,3641036,E,Estimated value
QV,Value of Agricultural Production,100,Bulgaria,57,Gross Production Value (current thousand US$),F2051,Agriculture,2017,2017,1000 US$,3826273,E,Estimated value
QV,Value of Agricultural Production,100,Bulgaria,57,Gross Production Value (current thousand US$),F2051,Agriculture,2018,2018,1000 US$,4086839,E,Estimated value
QV,Value of Agricultural Production,100,Bulgaria,57,Gross Production Value (current thousand US$),F2051,Agriculture,2019,2019,1000 US$,3997292,E,Estimated value
QV,Value of Agricultural Production,100,Bulgaria,57,Gross Production Value (current thousand US$),F2051,Agriculture,2020,2020,1000 US$,3654345,E,Estimated value
QV,Value of Agricultural Production,191,Croatia,57,Gross Production Value (current thousand US$),F2051,Agriculture,2010,2010,1000 US$,1782196,E,Estimated value
QV,Value of Agricultural Production,191,Croatia,57,Gross Production Value (current thousand US$),F2051,Agriculture,2011,2011,1000 US$,2027334,E,Estimated value
QV,Value of Agricultural Production,191,Croatia,57,Gross Production Value (current thousand US$),F2051,Agriculture,2012,2012,1000 US$,1891865,E,Estimated value
QV,Value of Agricultural Production,191,Croatia,57,Gross Production Value (current thousand US$),F2051,Agriculture,2013,2013,1000 US$,1785357,E,Estimated value
QV,Value of Agricultural Production,191,Croatia,57,Gross Production Value (current thousand US$),F2051,Agriculture,2014,2014,1000 US$,1596226,E,Estimated value
QV,Value of Agricultural Production,191,Croatia,57,Gross Production Value (current thousand US$),F2051,Agriculture,2015,2015,1000 US$,1399157,E,Estimated value
QV,Value of Agricultural Production,191,Croatia,57,Gross Production Value (current thousand US$),F2051,Agriculture,2016,2016,1000 US$,1536325,E,Estimated value
QV,Value of Agricultural Production,191,Croatia,57,Gross Production Value (current thousand US$),F2051,Agriculture,2017,2017,1000 US$,1503890,E,Estimated value
QV,Value of Agricultural Production,191,Croatia,57,Gross Production Value (current thousand US$),F2051,Agriculture,2018,2018,1000 US$,1605299,E,Estimated value
QV,Value of Agricultural Production,191,Croatia,57,Gross Production Value (current thousand US$),F2051,Agriculture,2019,2019,1000 US$,1494196,E,Estimated value
QV,Value of Agricultural Production,191,Croatia,57,Gross Production Value (current thousand US$),F2051,Agriculture,2020,2020,1000 US$,1647952,E,Estimated value
QV,Value of Agricultural Production,196,Cyprus,57,Gross Production Value (current thousand US$),F2051,Agriculture,2010,2010,1000 US$,759860,E,Estimated value
QV,Value of Agricultural Production,196,Cyprus,57,Gross Production Value (current thousand US$),F2051,Agriculture,2011,2011,1000 US$,822331,E,Estimated value
QV,Value of Agricultural Production,196,Cyprus,57,Gross Production Value (current thousand US$),F2051,Agriculture,2012,2012,1000 US$,726219,E,Estimated value
QV,Value of Agricultural Production,196,Cyprus,57,Gross Production Value (current thousand US$),F2051,Agriculture,2013,2013,1000 US$,712976,E,Estimated value
