Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
OA,Annual population,40,Austria,551,Rural population,3010,Population - Est. & Proj.,2010,2010,1000 persons,3582.684,X,Figure from international organizations,
OA,Annual population,40,Austria,551,Rural population,3010,Population - Est. & Proj.,2011,2011,1000 persons,3628.001,X,Figure from international organizations,
OA,Annual population,40,Austria,551,Rural population,3010,Population - Est. & Proj.,2012,2012,1000 persons,3650.043,X,Figure from international organizations,
OA,Annual population,40,Austria,551,Rural population,3010,Population - Est. & Proj.,2013,2013,1000 persons,3659.591,X,Figure from international organizations,
OA,Annual population,40,Austria,551,Rural population,3010,Population - Est. & Proj.,2014,2014,1000 persons,3666.869,X,Figure from international organizations,
OA,Annual population,40,Austria,551,Rural population,3010,Population - Est. & Proj.,2015,2015,1000 persons,3669.727,X,Figure from international organizations,
OA,Annual population,40,Austria,551,Rural population,3010,Population - Est. & Proj.,2016,2016,1000 persons,3667.377,X,Figure from international organizations,
OA,Annual population,40,Austria,551,Rural population,3010,Population - Est. & Proj.,2017,2017,1000 persons,3660.707,X,Figure from international organizations,
OA,Annual population,40,Austria,551,Rural population,3010,Population - Est. & Proj.,2018,2018,1000 persons,3649.748,X,Figure from international organizations,
OA,Annual population,40,Austria,551,Rural population,3010,Population - Est. & Proj.,2019,2019,1000 persons,3636.627,X,Figure from international organizations,
OA,Annual population,40,Austria,551,Rural population,3010,Population - Est. & Proj.,2020,2020,1000 persons,3622.85,X,Figure from international organizations,
OA,Annual population,56,Belgium,551,Rural population,3010,Population - Est. & Proj.,2010,2010,1000 persons,256.927,X,Figure from international organizations,
OA,Annual population,56,Belgium,551,Rural population,3010,Population - Est. & Proj.,2011,2011,1000 persons,253.515,X,Figure from international organizations,
OA,Annual population,56,Belgium,551,Rural population,3010,Population - Est. & Proj.,2012,2012,1000 persons,250.039,X,Figure from international organizations,
OA,Annual population,56,Belgium,551,Rural population,3010,Population - Est. & Proj.,2013,2013,1000 persons,246.557,X,Figure from international organizations,
OA,Annual population,56,Belgium,551,Rural population,3010,Population - Est. & Proj.,2014,2014,1000 persons,243.099,X,Figure from international organizations,
OA,Annual population,56,Belgium,551,Rural population,3010,Population - Est. & Proj.,2015,2015,1000 persons,239.703,X,Figure from international organizations,
OA,Annual population,56,Belgium,551,Rural population,3010,Population - Est. & Proj.,2016,2016,1000 persons,236.371,X,Figure from international organizations,
OA,Annual population,56,Belgium,551,Rural population,3010,Population - Est. & Proj.,2017,2017,1000 persons,233.097,X,Figure from international organizations,
OA,Annual population,56,Belgium,551,Rural population,3010,Population - Est. & Proj.,2018,2018,1000 persons,229.844,X,Figure from international organizations,
OA,Annual population,56,Belgium,551,Rural population,3010,Population - Est. & Proj.,2019,2019,1000 persons,226.556,X,Figure from international organizations,
OA,Annual population,56,Belgium,551,Rural population,3010,Population - Est. & Proj.,2020,2020,1000 persons,223.197,X,Figure from international organizations,
OA,Annual population,100,Bulgaria,551,Rural population,3010,Population - Est. & Proj.,2010,2010,1000 persons,2050.944,X,Figure from international organizations,
OA,Annual population,100,Bulgaria,551,Rural population,3010,Population - Est. & Proj.,2011,2011,1000 persons,2012.821,X,Figure from international organizations,
OA,Annual population,100,Bulgaria,551,Rural population,3010,Population - Est. & Proj.,2012,2012,1000 persons,1975.613,X,Figure from international organizations,
OA,Annual population,100,Bulgaria,551,Rural population,3010,Population - Est. & Proj.,2013,2013,1000 persons,1939.116,X,Figure from international organizations,
OA,Annual population,100,Bulgaria,551,Rural population,3010,Population - Est. & Proj.,2014,2014,1000 persons,1902.938,X,Figure from international organizations,
OA,Annual population,100,Bulgaria,551,Rural population,3010,Population - Est. & Proj.,2015,2015,1000 persons,1866.828,X,Figure from international organizations,
OA,Annual population,100,Bulgaria,551,Rural population,3010,Population - Est. & Proj.,2016,2016,1000 persons,1830.702,X,Figure from international organizations,
OA,Annual population,100,Bulgaria,551,Rural population,3010,Population - Est. & Proj.,2017,2017,1000 persons,1794.614,X,Figure from international organizations,
OA,Annual population,100,Bulgaria,551,Rural population,3010,Population - Est. & Proj.,2018,2018,1000 persons,1758.643,X,Figure from international organizations,
OA,Annual population,100,Bulgaria,551,Rural population,3010,Population - Est. & Proj.,2019,2019,1000 persons,1722.907,X,Figure from international organizations,
OA,Annual population,100,Bulgaria,551,Rural population,3010,Population - Est. & Proj.,2020,2020,1000 persons,1687.49,X,Figure from international organizations,
OA,Annual population,191,Croatia,551,Rural population,3010,Population - Est. & Proj.,2010,2010,1000 persons,1940.974,X,Figure from international organizations,
OA,Annual population,191,Croatia,551,Rural population,3010,Population - Est. & Proj.,2011,2011,1000 persons,1927.119,X,Figure from international organizations,
OA,Annual population,191,Croatia,551,Rural population,3010,Population - Est. & Proj.,2012,2012,1000 persons,1911.684,X,Figure from international organizations,
OA,Annual population,191,Croatia,551,Rural population,3010,Population - Est. & Proj.,2013,2013,1000 persons,1894.797,X,Figure from international organizations,
OA,Annual population,191,Croatia,551,Rural population,3010,Population - Est. & Proj.,2014,2014,1000 persons,1876.612,X,Figure from international organizations,
OA,Annual population,191,Croatia,551,Rural population,3010,Population - Est. & Proj.,2015,2015,1000 persons,1857.29,X,Figure from international organizations,
OA,Annual population,191,Croatia,551,Rural population,3010,Population - Est. & Proj.,2016,2016,1000 persons,1836.858,X,Figure from international organizations,
OA,Annual population,191,Croatia,551,Rural population,3010,Population - Est. & Proj.,2017,2017,1000 persons,1815.373,X,Figure from international organizations,
OA,Annual population,191,Croatia,551,Rural population,3010,Population - Est. & Proj.,2018,2018,1000 persons,1793.077,X,Figure from international organizations,
OA,Annual population,191,Croatia,551,Rural population,3010,Population - Est. & Proj.,2019,2019,1000 persons,1770.247,X,Figure from international organizations,
OA,Annual population,191,Croatia,551,Rural population,3010,Population - Est. & Proj.,2020,2020,1000 persons,1747.114,X,Figure from international organizations,
OA,Annual population,196,Cyprus,551,Rural population,3010,Population - Est. & Proj.,2010,2010,1000 persons,361.031,X,Figure from international organizations,
OA,Annual population,196,Cyprus,551,Rural population,3010,Population - Est. & Proj.,2011,2011,1000 persons,366.624,X,Figure from international organizations,
OA,Annual population,196,Cyprus,551,Rural population,3010,Population - Est. & Proj.,2012,2012,1000 persons,371.602,X,Figure from international organizations,
OA,Annual population,196,Cyprus,551,Rural population,3010,Population - Est. & Proj.,2013,2013,1000 persons,375.923,X,Figure from international organizations,
OA,Annual population,196,Cyprus,551,Rural population,3010,Population - Est. & Proj.,2014,2014,1000 persons,379.9,X,Figure from international organizations,
OA,Annual population,196,Cyprus,551,Rural population,3010,Population - Est. & Proj.,2015,2015,1000 persons,383.751,X,Figure from international organizations,
OA,Annual population,196,Cyprus,551,Rural population,3010,Population - Est. & Proj.,2016,2016,1000 persons,387.536,X,Figure from international organizations,
OA,Annual population,196,Cyprus,551,Rural population,3010,Population - Est. & Proj.,2017,2017,1000 persons,391.192,X,Figure from international organizations,
OA,Annual population,196,Cyprus,551,Rural population,3010,Population - Est. & Proj.,2018,2018,1000 persons,394.652,X,Figure from international organizations,
OA,Annual population,196,Cyprus,551,Rural population,3010,Population - Est. & Proj.,2019,2019,1000 persons,397.812,X,Figure from international organizations,
OA,Annual population,196,Cyprus,551,Rural population,3010,Population - Est. & Proj.,2020,2020,1000 persons,400.589,X,Figure from international organizations,
OA,Annual population,203,Czechia,551,Rural population,3010,Population - Est. & Proj.,2010,2010,1000 persons,2817.955,X,Figure from international organizations,
OA,Annual population,203,Czechia,551,Rural population,3010,Population - Est. & Proj.,2011,2011,1000 persons,2834,X,Figure from international organizations,
