Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
OA,Annual population,40,Austria,561,Urban population,3010,Population - Est. & Proj.,2010,2010,1000 persons,4827.265,X,Figure from international organizations,
OA,Annual population,40,Austria,561,Urban population,3010,Population - Est. & Proj.,2011,2011,1000 persons,4831.863,X,Figure from international organizations,
OA,Annual population,40,Austria,561,Urban population,3010,Population - Est. & Proj.,2012,2012,1000 persons,4867.505,X,Figure from international organizations,
OA,Annual population,40,Austria,561,Urban population,3010,Population - Est. & Proj.,2013,2013,1000 persons,4918.191,X,Figure from international organizations,
OA,Annual population,40,Austria,561,Urban population,3010,Population - Est. & Proj.,2014,2014,1000 persons,4966.351,X,Figure from international organizations,
OA,Annual population,40,Austria,561,Urban population,3010,Population - Est. & Proj.,2015,2015,1000 persons,5008.93,X,Figure from international organizations,
OA,Annual population,40,Austria,561,Urban population,3010,Population - Est. & Proj.,2016,2016,1000 persons,5044.76,X,Figure from international organizations,
OA,Annual population,40,Austria,561,Urban population,3010,Population - Est. & Proj.,2017,2017,1000 persons,5074.746,X,Figure from international organizations,
OA,Annual population,40,Austria,561,Urban population,3010,Population - Est. & Proj.,2018,2018,1000 persons,5102.072,X,Figure from international organizations,
OA,Annual population,40,Austria,561,Urban population,3010,Population - Est. & Proj.,2019,2019,1000 persons,5129.574,X,Figure from international organizations,
OA,Annual population,40,Austria,561,Urban population,3010,Population - Est. & Proj.,2020,2020,1000 persons,5159.36,X,Figure from international organizations,
OA,Annual population,56,Belgium,561,Urban population,3010,Population - Est. & Proj.,2010,2010,1000 persons,10681.812,X,Figure from international organizations,
OA,Annual population,56,Belgium,561,Urban population,3010,Population - Est. & Proj.,2011,2011,1000 persons,10759.568,X,Figure from international organizations,
OA,Annual population,56,Belgium,561,Urban population,3010,Population - Est. & Proj.,2012,2012,1000 persons,10833.511,X,Figure from international organizations,
OA,Annual population,56,Belgium,561,Urban population,3010,Population - Est. & Proj.,2013,2013,1000 persons,10904.955,X,Figure from international organizations,
OA,Annual population,56,Belgium,561,Urban population,3010,Population - Est. & Proj.,2014,2014,1000 persons,10976.062,X,Figure from international organizations,
OA,Annual population,56,Belgium,561,Urban population,3010,Population - Est. & Proj.,2015,2015,1000 persons,11048.237,X,Figure from international organizations,
OA,Annual population,56,Belgium,561,Urban population,3010,Population - Est. & Proj.,2016,2016,1000 persons,11122.008,X,Figure from international organizations,
OA,Annual population,56,Belgium,561,Urban population,3010,Population - Est. & Proj.,2017,2017,1000 persons,11196.239,X,Figure from international organizations,
OA,Annual population,56,Belgium,561,Urban population,3010,Population - Est. & Proj.,2018,2018,1000 persons,11268.675,X,Figure from international organizations,
OA,Annual population,56,Belgium,561,Urban population,3010,Population - Est. & Proj.,2019,2019,1000 persons,11336.228,X,Figure from international organizations,
OA,Annual population,56,Belgium,561,Urban population,3010,Population - Est. & Proj.,2020,2020,1000 persons,11396.775,X,Figure from international organizations,
OA,Annual population,100,Bulgaria,561,Urban population,3010,Population - Est. & Proj.,2010,2010,1000 persons,5353.646,X,Figure from international organizations,
OA,Annual population,100,Bulgaria,561,Urban population,3010,Population - Est. & Proj.,2011,2011,1000 persons,5343.392,X,Figure from international organizations,
OA,Annual population,100,Bulgaria,561,Urban population,3010,Population - Est. & Proj.,2012,2012,1000 persons,5334.77,X,Figure from international organizations,
OA,Annual population,100,Bulgaria,561,Urban population,3010,Population - Est. & Proj.,2013,2013,1000 persons,5327.025,X,Figure from international organizations,
OA,Annual population,100,Bulgaria,561,Urban population,3010,Population - Est. & Proj.,2014,2014,1000 persons,5319.207,X,Figure from international organizations,
OA,Annual population,100,Bulgaria,561,Urban population,3010,Population - Est. & Proj.,2015,2015,1000 persons,5310.568,X,Figure from international organizations,
OA,Annual population,100,Bulgaria,561,Urban population,3010,Population - Est. & Proj.,2016,2016,1000 persons,5300.792,X,Figure from international organizations,
OA,Annual population,100,Bulgaria,561,Urban population,3010,Population - Est. & Proj.,2017,2017,1000 persons,5289.957,X,Figure from international organizations,
OA,Annual population,100,Bulgaria,561,Urban population,3010,Population - Est. & Proj.,2018,2018,1000 persons,5278.205,X,Figure from international organizations,
OA,Annual population,100,Bulgaria,561,Urban population,3010,Population - Est. & Proj.,2019,2019,1000 persons,5265.832,X,Figure from international organizations,
OA,Annual population,100,Bulgaria,561,Urban population,3010,Population - Est. & Proj.,2020,2020,1000 persons,5253.037,X,Figure from international organizations,
OA,Annual population,191,Croatia,561,Urban population,3010,Population - Est. & Proj.,2010,2010,1000 persons,2387.179,X,Figure from international organizations,
OA,Annual population,191,Croatia,561,Urban population,3010,Population - Est. & Proj.,2011,2011,1000 persons,2386.252,X,Figure from international organizations,
OA,Annual population,191,Croatia,561,Urban population,3010,Population - Est. & Proj.,2012,2012,1000 persons,2384.842,X,Figure from international organizations,
OA,Annual population,191,Croatia,561,Urban population,3010,Population - Est. & Proj.,2013,2013,1000 persons,2383.009,X,Figure from international organizations,
OA,Annual population,191,Croatia,561,Urban population,3010,Population - Est. & Proj.,2014,2014,1000 persons,2380.921,X,Figure from international organizations,
OA,Annual population,191,Croatia,561,Urban population,3010,Population - Est. & Proj.,2015,2015,1000 persons,2378.726,X,Figure from international organizations,
OA,Annual population,191,Croatia,561,Urban population,3010,Population - Est. & Proj.,2016,2016,1000 persons,2376.407,X,Figure from international organizations,
OA,Annual population,191,Croatia,561,Urban population,3010,Population - Est. & Proj.,2017,2017,1000 persons,2373.98,X,Figure from international organizations,
OA,Annual population,191,Croatia,561,Urban population,3010,Population - Est. & Proj.,2018,2018,1000 persons,2371.706,X,Figure from international organizations,
OA,Annual population,191,Croatia,561,Urban population,3010,Population - Est. & Proj.,2019,2019,1000 persons,2369.901,X,Figure from international organizations,
OA,Annual population,191,Croatia,561,Urban population,3010,Population - Est. & Proj.,2020,2020,1000 persons,2368.833,X,Figure from international organizations,
OA,Annual population,196,Cyprus,561,Urban population,3010,Population - Est. & Proj.,2010,2010,1000 persons,751.576,X,Figure from international organizations,
OA,Annual population,196,Cyprus,561,Urban population,3010,Population - Est. & Proj.,2011,2011,1000 persons,758.211,X,Figure from international organizations,
OA,Annual population,196,Cyprus,561,Urban population,3010,Population - Est. & Proj.,2012,2012,1000 persons,763.46,X,Figure from international organizations,
OA,Annual population,196,Cyprus,561,Urban population,3010,Population - Est. & Proj.,2013,2013,1000 persons,767.973,X,Figure from international organizations,
OA,Annual population,196,Cyprus,561,Urban population,3010,Population - Est. & Proj.,2014,2014,1000 persons,772.409,X,Figure from international organizations,
OA,Annual population,196,Cyprus,561,Urban population,3010,Population - Est. & Proj.,2015,2015,1000 persons,777.234,X,Figure from international organizations,
OA,Annual population,196,Cyprus,561,Urban population,3010,Population - Est. & Proj.,2016,2016,1000 persons,782.589,X,Figure from international organizations,
OA,Annual population,196,Cyprus,561,Urban population,3010,Population - Est. & Proj.,2017,2017,1000 persons,788.359,X,Figure from international organizations,
OA,Annual population,196,Cyprus,561,Urban population,3010,Population - Est. & Proj.,2018,2018,1000 persons,794.433,X,Figure from international organizations,
OA,Annual population,196,Cyprus,561,Urban population,3010,Population - Est. & Proj.,2019,2019,1000 persons,800.615,X,Figure from international organizations,
OA,Annual population,196,Cyprus,561,Urban population,3010,Population - Est. & Proj.,2020,2020,1000 persons,806.754,X,Figure from international organizations,
OA,Annual population,203,Czechia,561,Urban population,3010,Population - Est. & Proj.,2010,2010,1000 persons,7718.331,X,Figure from international organizations,
OA,Annual population,203,Czechia,561,Urban population,3010,Population - Est. & Proj.,2011,2011,1000 persons,7734.715,X,Figure from international organizations,
